Restaurant Name,cuisine,location,avg_price,price_norm
cafe de olla,multi cuisine,jamal,759.6067415730337,0.9875184800680732
cafe de patan,multi cuisine,patan darbar square,394.6078431372549,0.9936450262182517
cafe de tukche,multi cuisine,nursery marg lazimpat,507.91503267973854,0.9917431527362932
cafe deja vu,multicuisine,narayan chaur,417.7401129943503,0.993256748556469
cafe imago,american,nag pokhari road,663.7563025210084,0.9891273400971957
cafe jamghat,multi cuisine,samakhusi 26 townplanning,239.0,0.9962569207647712
cafe lava,multi cuisine,lazimpat,484.0184049079755,0.992144260228685
cafe mitra,continental,thamel,666.6257668711656,0.9890791758264463
cafe nepali accent,indian cuisine,radha bhawan tripureshwor,437.5,0.9929250767070984
cafe o2 pizza place,italian,durbar marg way to yak and yeti hotel,478.87931034482756,0.9922305204890479
cafe soma,american,jhamsikhel,515.1898734177215,0.9916210437444374
cafe soma  baluwatar,american,baluwatar,521.1538461538462,0.991520937814357
caffeophilia,continental,bhaisepati,615.5833333333334,0.9899359286167344
camida restro  bar,continental,boudha,467.73809523809524,0.9924175269945826
casa mexicana  gariridhara,mexican,gariridhara,684.635761589404,0.9887768761091633
casa mexicana  jhamsikhel,mexican,jhamsikhel,672.8571428571429,0.9889745815037763
chandol cloud kitchen,sandwich,chandol,498.5,0.9919011850823223
chatime nepal,bubble tea,chaksibari marg thamel,324.92857142857144,0.9948146003612518
chautari pizza and burger,italian,pepsicola manohara,430.85,0.9930366976793076
chef kitchen burger house,burger,chabahil chucchepati7,321.21004566210047,0.9948770162200847
chef kitchen shakes  cold drinks,beverages,chabahil,413.1989247311828,0.9933329728946525
chefs bakery  mid baneshwor,bakery,mid baneshwor,1686.3513513513512,0.9719629711458048
chefs burger,multi cuisine,boudha,423.9761904761905,0.9931520753186802
chefs burger  chabahil,multi cuisine,chabahil,424.0521327014218,0.9931508006201822
chefs burger  mid baneshwor,multi cuisine,mid baneshwor,423.1042654028436,0.99316671067573
chefs burger  thamel,multi cuisine,thamel,423.1042654028436,0.99316671067573
chefs burger samakhusi,multi cuisine,samakhusi,420.61611374407585,0.9932084745715428
chhabi bakes,bakery,samakhushi,631.3380281690141,0.9896714843529122
chick n falafel,middle eastern,mandala street thamel,310.85714285714283,0.995050790818021
chicken hub  manamaiju,fast food,manamaiju,304.26778242677824,0.9951613939484683
chicken station  jhamsikhel,fried chicken,jhamsikhel,385.0330578512397,0.9938057400291267
chicken station  jorpati,fast food,jorpati,353.9384615384615,0.9943276662051995
chicken station  kuleshwor,fried chicken,kuleshwor,407.9107142857143,0.9934217360812945
chicken station  kumaripati,fast food,kumaripati,345.59859154929575,0.9944676518287017
chicken station  machhapokhari,fast food,machha pokhari  balaju,319.02941176470586,0.9949136183968756
chicken station  thamel,fast food,narsingh chowk  thamel,301.6837606837607,0.995204767034057
chicken station khumaltar,fried chicken,khumaltar,370.53146853146853,0.9940491507807735
chicken station sankhamul,fast food,sankhamul,375.381679389313,0.9939677394647777
china town chinese restaurant and bar,chinese  asian,lazimpat,509.70093457943926,0.9917131761789527
chinese food hub  chinese kitchen,chinese cuisine,naxal,823.1621212121212,0.9864516961185334
chinese kitchen,multi cuisine,chabahil kl tower,316.49122807017545,0.9949562220858423
chow bella by hotel akama,chinese  italian,dhumbarahi,1227.012987012987,0.9796730154766963
chulha restauranttaste of hyderabad dum biryani,indian  halal  multicuisuine,boudha,508.8,0.9917282984637126
city chicken,multi cuisine,city chicken,342.73972602739724,0.9945156381969679
classic pizza,pizza,mandal street thamel,383.4375,0.9938325216409419
coffee escape,american,lazimpat,592.8846153846154,0.9903169290626499
comic cafe,beverages,basantapur,353.3333333333333,0.9943378233478413
cooker coffee by daddys kitchen,fast food,aloknagar baneshwor,359.39814814814815,0.9942360247725183
copacabana kathmandu,american  latin,gairidhara,536.0294117647059,0.9912712498300493
crave bakery,bakery,thasikhel marg uttar,1745.3260869565217,0.9709730738038456
crazy dumplings,momo  nepali,bakhundol lalitpur,390.63106796116506,0.9937117768214715
crazy mexican,mexican,jawalakhel,607.0410958904109,0.9900793109999255
crunchy bites,nepali  fried chicken,kalanki,261.1111111111111,0.9958857833634408
crust pizza,italian,old baneshwor,442.2705882352941,0.9928450018654693
curilo,continental,lazimpat opposite to british embassy,631.1111111111111,0.989675293180373
daddys kitchen  new baneshwor,fast food,aloknagar baneshwor,349.3436363636364,0.9944047908447703
dailo daily see us,multi cuisine,new baneshwor,391.1411764705882,0.9937032145947415
dalle  bhaisepati,multi cuisine,bhaisepati inside awash,442.512,0.9928409497427807
dalle  gwarko,multi cuisine,gwarko,441.515625,0.992857674005365
dalle  new road,multi cuisine,new road,435.0703125,0.992965859275657
dalle  sanepa,momo,sanepa,439.4724409448819,0.9928919690716258
dalle  thamel,momo,thamel paryatan marg,448.5238095238095,0.9927400408670237
dalle  tripureshwor,multicuisine,uwtc tripureshwor,442.62992125984255,0.9928389704216276
dalle naxal bhatbhateni,momo,naxal bhatbhateni,442.512,0.9928409497427807
dalle restaurant  golfutar,multi cuisine,golfutar,438.09302325581393,0.9929151227473455
dalle restaurant  jawalakhel,multi cuisine,jawalakhel,445.66386554621846,0.9927880453372858
dalle restaurant  kamaladi,momo,kamaladi,436.7348484848485,0.9929379198583779
dancing yak restaurant  bar,multi cuisine,thamel,415.8130081300813,0.9932890952209048
darjeeling ko swad,momo,maitidevi,198.38709677419354,0.9969386127560949
darjeeling ko swad  kumaripati,momo,kumaripati,185.55555555555554,0.9971539915689922
darjeeling ko swad  sankhamul,momo,sankhamul,194.82758620689654,0.9969983595275401
davis restaurant,multi cuisine,kausaltar,486.2621359223301,0.9921065989599335
dechenling garden restaurant  bar,tibetian,keshar mahal tridevi marg,712.2137404580153,0.9883139767388055
deoch an doris,multi cuisine,new plaza putalisadak,318.4552845528455,0.9949232551844785
dharane sekuwa corner  lalitpur,multi cuisine,khumaltar,412.70454545454544,0.9933412711045018
dhaulagiri flavours  gongabu,momo,gongabu,288.35164835164835,0.9954285479874574
dhokaima bistro,pizza,dhumbarahi,429.36619718309856,0.9930616034707346
dhokaima cafe,multicuisine,patan dhoka,736.7213114754098,0.9879026144976856
diamond restaurant  banquet,multi cuisine,basundhara,461.9837398373984,0.9925141144749228
dip in donuts,bakery sweets,pimbahal,103.84615384615384,0.9985254927505613
